epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,6425.02,1.26538,0.67717,0.00398,0.82126,0.76489,0.82737,0.54894,1.29126,0.77425,0.00471,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,6571.47,1.27674,0.67896,0.00393,0.84927,0.77988,0.85188,0.56426,1.29587,0.7425,0.00475,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,6718.47,1.23574,0.64796,0.00387,0.8193,0.79906,0.84461,0.55665,1.29025,0.76546,0.00471,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,6865.46,1.23529,0.64843,0.00384,0.87119,0.77733,0.85357,0.56986,1.26775,0.7403,0.0046,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,7013.38,1.21568,0.63553,0.00374,0.81929,0.8079,0.84339,0.56476,1.27788,0.7591,0.00466,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,7160.93,1.22238,0.65441,0.0039,0.84163,0.807,0.8588,0.56531,1.27588,0.75001,0.00465,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,7309.62,1.22847,0.64291,0.00369,0.87843,0.77202,0.85583,0.57161,1.26463,0.74357,0.00463,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,7457.89,1.20951,0.63981,0.00368,0.84907,0.78612,0.85037,0.56779,1.26419,0.74988,0.00458,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,7605.81,1.19725,0.62697,0.00365,0.8353,0.78945,0.84557,0.56435,1.26834,0.75985,0.0046,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,7752.97,1.15389,0.58505,0.00358,0.84475,0.80285,0.84847,0.56413,1.2763,0.75531,0.00466,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,7900.93,1.19373,0.60055,0.00352,0.85045,0.76598,0.83932,0.5615,1.2717,0.75463,0.00463,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,8048.67,1.18048,0.60236,0.00362,0.83068,0.80687,0.85523,0.56749,1.27255,0.7737,0.00462,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,8196.52,1.17289,0.59013,0.00346,0.86205,0.79168,0.85331,0.56722,1.26251,0.7645,0.00458,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,8344.68,1.18768,0.60521,0.00357,0.85254,0.79995,0.84412,0.56872,1.26661,0.77297,0.00463,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,8492.43,1.15135,0.58614,0.00348,0.87559,0.77762,0.85515,0.5718,1.26464,0.7609,0.00463,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,8641.66,1.16818,0.58157,0.0035,0.86804,0.77799,0.84968,0.57334,1.26489,0.74738,0.00459,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,8790.73,1.13469,0.5754,0.00344,0.83464,0.7927,0.84906,0.56378,1.25784,0.7726,0.00455,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,8939.68,1.12822,0.5636,0.00344,0.83085,0.80571,0.84065,0.57167,1.24588,0.78645,0.00455,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,9088.36,1.11457,0.56535,0.00335,0.83888,0.78186,0.83952,0.56874,1.25243,0.78004,0.00457,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,9237.3,1.10705,0.55513,0.0033,0.85657,0.79808,0.8486,0.57535,1.2568,0.78219,0.0046,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,9386.1,1.10129,0.54238,0.00339,0.87296,0.81845,0.85961,0.57473,1.25541,0.74408,0.00458,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,9534.52,1.08192,0.54309,0.00327,0.87258,0.80371,0.85745,0.57654,1.25421,0.77122,0.00452,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,9682.46,1.07003,0.51372,0.00312,0.87968,0.78899,0.85529,0.57444,1.23917,0.77879,0.0045,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,9831.43,1.06646,0.52608,0.00325,0.8272,0.83357,0.86148,0.57794,1.24099,0.77183,0.00449,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,9978.18,1.07944,0.52478,0.00317,0.8553,0.8043,0.85396,0.57624,1.24998,0.76681,0.00455,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,10127,1.07542,0.52875,0.00317,0.84427,0.79967,0.85509,0.5764,1.25373,0.78701,0.00454,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,10275.7,1.0448,0.51109,0.00312,0.83437,0.81626,0.85621,0.57568,1.25701,0.76959,0.00457,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,10425,1.03951,0.50514,0.00311,0.87767,0.78164,0.84961,0.57191,1.24159,0.78076,0.00448,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,10574.1,1.03071,0.50158,0.00301,0.86494,0.80675,0.85613,0.5792,1.23891,0.77232,0.0045,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,10723.9,1.04242,0.51127,0.00307,0.85907,0.80241,0.85478,0.58032,1.23614,0.7874,0.00447,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,10872.7,1.01661,0.49334,0.00299,0.86125,0.79889,0.85834,0.58117,1.22726,0.79134,0.00444,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,11021.4,1.02185,0.49195,0.00293,0.85806,0.81293,0.86096,0.58219,1.24159,0.80312,0.00448,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,11171.2,0.99764,0.4814,0.00295,0.84953,0.81285,0.85248,0.57608,1.23274,0.79019,0.00445,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,11320,0.99429,0.47785,0.00293,0.85765,0.80509,0.84799,0.57866,1.23365,0.78572,0.00448,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,11469.2,0.99488,0.4809,0.00294,0.86407,0.81249,0.85237,0.57605,1.23528,0.79091,0.00449,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,11617.5,0.99316,0.47432,0.00279,0.85773,0.8168,0.84565,0.57347,1.23057,0.81422,0.00447,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,11766.2,0.97511,0.46939,0.00284,0.84718,0.82287,0.84999,0.57617,1.23095,0.79097,0.00445,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,11914.5,0.96344,0.46891,0.00283,0.84279,0.81251,0.85601,0.57806,1.22939,0.78186,0.00443,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,12063.8,0.9545,0.45604,0.00269,0.847,0.82288,0.85488,0.57929,1.22435,0.78952,0.00441,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,12212,0.97189,0.47217,0.0028,0.87773,0.795,0.85944,0.58697,1.22241,0.77076,0.00442,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,12360.8,0.95241,0.46019,0.00279,0.86176,0.80375,0.84891,0.58258,1.21713,0.7927,0.00439,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
84,12509,0.94805,0.45557,0.00275,0.849,0.81027,0.84821,0.57959,1.21351,0.80912,0.00439,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
85,12658.5,0.94996,0.46102,0.00262,0.84704,0.80306,0.84678,0.58015,1.223,0.8094,0.00442,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,12806.8,0.93668,0.44549,0.00271,0.89149,0.77323,0.85073,0.58246,1.21136,0.81056,0.00438,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
87,12955.6,0.92878,0.44596,0.00266,0.86413,0.80949,0.84991,0.57891,1.21244,0.7974,0.00438,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,13104.2,0.91102,0.44284,0.00261,0.88322,0.77669,0.84585,0.57716,1.21339,0.80021,0.00439,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
89,13253.5,0.89373,0.42378,0.00259,0.86448,0.79123,0.84758,0.58179,1.20759,0.8136,0.00437,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885
90,13402.8,0.90092,0.43583,0.00261,0.87661,0.78807,0.85017,0.58259,1.20371,0.79874,0.00435,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929
91,13552,0.90427,0.44079,0.00266,0.85629,0.80162,0.85233,0.58153,1.19845,0.79222,0.00433,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
92,13701.7,0.89236,0.42814,0.00251,0.8678,0.79589,0.85031,0.58318,1.20271,0.79208,0.00436,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211
93,13850.4,0.87726,0.41547,0.00253,0.8599,0.80993,0.85887,0.58481,1.20272,0.77769,0.00435,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457
94,14000.3,0.8762,0.41325,0.00252,0.8701,0.80846,0.85921,0.59052,1.1947,0.77821,0.00431,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
95,14149.2,0.86992,0.41352,0.00245,0.8579,0.80647,0.86202,0.59031,1.19912,0.78217,0.00432,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318
96,14298.5,0.86214,0.4127,0.00253,0.85287,0.81759,0.86061,0.58869,1.20153,0.79271,0.00434,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
97,14447.7,0.85872,0.41538,0.00245,0.87383,0.78709,0.86028,0.58768,1.2051,0.8015,0.00435,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
98,14597,0.85346,0.40985,0.00248,0.86195,0.80574,0.8441,0.58353,1.20486,0.80406,0.00433,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906
99,14747.3,0.84096,0.40359,0.00238,0.86753,0.7906,0.84494,0.5847,1.19773,0.80088,0.00431,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668
100,14895.6,0.83944,0.39628,0.00244,0.85896,0.80675,0.84606,0.58467,1.19636,0.79833,0.00431,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
101,15044.5,0.84121,0.39674,0.00235,0.86569,0.79467,0.84761,0.59156,1.19496,0.80102,0.0043,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
102,15193,0.81966,0.39076,0.00236,0.87885,0.79134,0.85063,0.59114,1.1965,0.80218,0.00431,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577
103,15340.8,0.82172,0.38731,0.00229,0.86973,0.80306,0.85147,0.58954,1.19722,0.81099,0.00431,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
104,15489.2,0.81684,0.3814,0.00234,0.87482,0.78955,0.8461,0.58924,1.19182,0.8134,0.0043,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071
