epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,15916,1.01707,0.48163,0.00295,0.88168,0.78213,0.85389,0.58416,1.21029,0.75961,0.00438,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,16189.7,0.99351,0.474,0.00295,0.87434,0.78839,0.84768,0.57935,1.2189,0.76798,0.00442,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,16464.4,0.97759,0.46046,0.00292,0.87054,0.80939,0.85385,0.58397,1.20329,0.7632,0.00433,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,16739.1,0.97394,0.45943,0.00288,0.86596,0.78914,0.84688,0.58335,1.20173,0.79152,0.00432,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,17017.3,0.96176,0.45238,0.00279,0.84387,0.81462,0.85914,0.58923,1.20678,0.76751,0.00434,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,17296.6,0.95188,0.43641,0.00287,0.85083,0.81057,0.85385,0.57978,1.21127,0.78847,0.00435,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,17573.6,0.92869,0.43819,0.00274,0.85082,0.81053,0.83843,0.57307,1.21184,0.79464,0.00437,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,17850.1,0.92814,0.42289,0.00266,0.89015,0.79109,0.85487,0.58917,1.19516,0.79663,0.00432,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,18128,0.92459,0.42726,0.00275,0.88922,0.80316,0.85605,0.59417,1.19909,0.78371,0.00432,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,18405.8,0.92216,0.42184,0.00263,0.88328,0.80381,0.85873,0.58822,1.19557,0.77563,0.00431,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,18681.1,0.92183,0.4269,0.00265,0.87388,0.80648,0.86019,0.58959,1.20029,0.78035,0.00434,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,18957.9,0.89599,0.41274,0.00259,0.86924,0.80336,0.84535,0.58258,1.18707,0.79352,0.0043,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,19236,0.89248,0.40982,0.00259,0.89199,0.79646,0.85062,0.58768,1.19062,0.78472,0.00431,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,19515.3,0.8869,0.40774,0.00251,0.85465,0.79716,0.8464,0.58564,1.18047,0.8058,0.00426,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,19792.7,0.88718,0.41345,0.00255,0.87452,0.79893,0.84587,0.58546,1.18849,0.80274,0.00428,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,20065.9,0.8666,0.40167,0.00251,0.87025,0.79449,0.83701,0.58283,1.18945,0.80244,0.00429,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,20337,0.87637,0.40042,0.00246,0.87857,0.78812,0.84687,0.58761,1.18133,0.80093,0.00427,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,20610.6,0.8472,0.39446,0.00246,0.88812,0.79038,0.85535,0.59395,1.17982,0.79522,0.00426,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,20882.5,0.84449,0.38248,0.00242,0.86391,0.8137,0.85463,0.59853,1.17942,0.81054,0.00428,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,21152.3,0.83689,0.38493,0.00241,0.85733,0.81792,0.85692,0.59692,1.17679,0.79945,0.00425,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,21423.2,0.84261,0.38033,0.00231,0.84406,0.82653,0.85516,0.59559,1.17492,0.79409,0.00424,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,21693.4,0.82123,0.38029,0.00233,0.88113,0.78606,0.8522,0.59469,1.17427,0.80577,0.00422,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,21964.7,0.80716,0.374,0.00231,0.86851,0.81565,0.8563,0.59493,1.18243,0.7978,0.00427,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,22235.4,0.80246,0.36776,0.00222,0.87768,0.79948,0.85293,0.59126,1.17583,0.80037,0.00424,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,22506.7,0.82274,0.38258,0.0023,0.86908,0.81794,0.85103,0.59348,1.17317,0.80061,0.00426,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,22777.3,0.79738,0.36849,0.00228,0.8714,0.8184,0.85061,0.59274,1.17012,0.80124,0.00422,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
84,23047.8,0.79377,0.36767,0.00225,0.87927,0.81695,0.85484,0.59684,1.16432,0.80064,0.00422,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
85,23318.2,0.7966,0.3651,0.00214,0.86632,0.81379,0.85781,0.60027,1.16735,0.81401,0.00421,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,23589.9,0.78457,0.35482,0.0022,0.89507,0.78875,0.85151,0.59826,1.16815,0.81412,0.00423,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
87,23861.2,0.77505,0.35801,0.00216,0.90104,0.79045,0.85242,0.59945,1.16032,0.80836,0.00419,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,24133,0.75948,0.35933,0.00212,0.86286,0.82867,0.8497,0.59774,1.1646,0.80822,0.0042,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
89,24404,0.73926,0.33673,0.0021,0.86067,0.82993,0.8585,0.59701,1.16333,0.80922,0.00419,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885
90,24675.5,0.75086,0.34276,0.00212,0.88459,0.81469,0.86259,0.60245,1.15565,0.81857,0.00417,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929
91,24949.8,0.75231,0.34909,0.00217,0.87985,0.79869,0.85988,0.60198,1.15832,0.82008,0.00418,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
92,25222.4,0.74012,0.33767,0.00202,0.85929,0.81151,0.84944,0.59404,1.15312,0.83029,0.00415,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211
93,25493.4,0.72748,0.33146,0.00205,0.89026,0.80831,0.85654,0.59818,1.15074,0.82671,0.00414,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457
94,25764.7,0.72321,0.32986,0.00202,0.86676,0.80183,0.84617,0.59183,1.15251,0.83787,0.00417,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
95,26034.1,0.71682,0.32951,0.00197,0.88559,0.79146,0.85193,0.59758,1.15328,0.82465,0.00416,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318
96,26303.5,0.71252,0.32789,0.00204,0.90123,0.79571,0.85361,0.59856,1.15452,0.84115,0.00416,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
97,26572.5,0.70402,0.32053,0.00197,0.88498,0.79033,0.85306,0.60067,1.1535,0.83829,0.00414,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
98,26841.9,0.70615,0.32119,0.00201,0.88378,0.78537,0.84989,0.59845,1.15191,0.82958,0.00414,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906
99,27110.7,0.69201,0.32225,0.00191,0.8689,0.82074,0.84809,0.5964,1.1534,0.81547,0.00413,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668
100,27379.3,0.68503,0.31405,0.00194,0.88825,0.79796,0.85004,0.59932,1.14946,0.84352,0.00411,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
101,27647.7,0.68844,0.31398,0.0019,0.87191,0.80593,0.85068,0.60082,1.14887,0.8468,0.00412,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
102,27916.8,0.66819,0.30458,0.00187,0.8715,0.80604,0.84777,0.59902,1.14472,0.84209,0.0041,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577
103,28186.3,0.66997,0.30171,0.00182,0.87828,0.79721,0.84702,0.59683,1.14049,0.83808,0.00408,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
104,28455.4,0.66404,0.29852,0.00186,0.87594,0.80873,0.85141,0.59901,1.13817,0.83616,0.00408,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071
105,28727.5,0.65111,0.29375,0.00186,0.87841,0.80106,0.84692,0.59574,1.13952,0.84614,0.00408,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497
106,29000.5,0.66306,0.29875,0.00182,0.86591,0.80958,0.84586,0.59527,1.13836,0.84424,0.00408,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
107,29272.4,0.64527,0.29647,0.00176,0.86659,0.81618,0.85199,0.59985,1.13922,0.84288,0.00409,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723
108,29543.2,0.6359,0.2938,0.00175,0.85116,0.81638,0.84908,0.59697,1.1421,0.8357,0.0041,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532
109,29813.5,0.65634,0.30104,0.00172,0.86852,0.81159,0.84901,0.59806,1.14196,0.84424,0.0041,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
110,30084.4,0.6288,0.29245,0.00173,0.86847,0.81165,0.84996,0.59901,1.14049,0.84465,0.00409,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557
111,30356.2,0.63355,0.28706,0.00174,0.89288,0.79126,0.85169,0.59859,1.13649,0.84978,0.00407,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
112,30628.7,0.61835,0.28584,0.00175,0.90106,0.78936,0.84322,0.59312,1.13736,0.85878,0.00409,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
113,30901.1,0.63961,0.28936,0.00171,0.89325,0.78998,0.849,0.59761,1.13565,0.8541,0.00409,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667
114,31177.2,0.63793,0.2902,0.00173,0.85352,0.81589,0.84922,0.59718,1.13438,0.85183,0.00408,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336
115,31454.2,0.60829,0.27483,0.00168,0.86752,0.80615,0.85251,0.59822,1.13128,0.86234,0.00406,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
