epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1.2604,0.79381,1.1804,0.81886,0.7585,0.82748,0.52838,1.3003,0.75507,1.1868,0.0059775,0.0059775,0.0059775
68,1.266,0.79283,1.186,0.82491,0.76478,0.8267,0.53608,1.2936,0.74754,1.185,0.0058755,0.0058755,0.0058755
69,1.248,0.7931,1.185,0.83815,0.76,0.83271,0.54003,1.2942,0.75134,1.1838,0.0057731,0.0057731,0.0057731
70,1.2471,0.78042,1.1779,0.84742,0.75637,0.82888,0.54162,1.2915,0.75259,1.1838,0.0056704,0.0056704,0.0056704
71,1.2583,0.78911,1.1837,0.86157,0.72738,0.82468,0.53647,1.2943,0.75253,1.1856,0.0055674,0.0055674,0.0055674
72,1.2506,0.77526,1.176,0.84816,0.72744,0.81714,0.53508,1.2978,0.74856,1.1901,0.0054642,0.0054642,0.0054642
73,1.2355,0.76549,1.1658,0.85419,0.75244,0.83125,0.53967,1.2889,0.74303,1.1837,0.0053608,0.0053608,0.0053608
74,1.2256,0.7555,1.1563,0.84992,0.7513,0.83614,0.54596,1.2887,0.73875,1.1805,0.0052573,0.0052573,0.0052573
75,1.2184,0.7628,1.1651,0.85489,0.75971,0.82879,0.54049,1.2891,0.74842,1.1835,0.0051537,0.0051537,0.0051537
76,1.2221,0.75734,1.1686,0.86233,0.72935,0.82578,0.54334,1.2884,0.74027,1.1839,0.00505,0.00505,0.00505
77,1.209,0.75437,1.1575,0.84332,0.75553,0.83023,0.54553,1.2863,0.73923,1.1836,0.0049463,0.0049463,0.0049463
78,1.207,0.74396,1.1513,0.86367,0.75352,0.83305,0.54336,1.2795,0.74086,1.1803,0.0048427,0.0048427,0.0048427
79,1.2045,0.73368,1.1408,0.85265,0.76363,0.83548,0.54465,1.2846,0.74567,1.1855,0.0047392,0.0047392,0.0047392
80,1.1963,0.72444,1.145,0.8518,0.76014,0.8372,0.55103,1.2849,0.74373,1.1861,0.0046358,0.0046358,0.0046358
81,1.1903,0.71849,1.1455,0.86034,0.76047,0.83604,0.54756,1.28,0.73508,1.1772,0.0045326,0.0045326,0.0045326
82,1.1928,0.72745,1.145,0.84238,0.76234,0.82465,0.54367,1.283,0.73936,1.1817,0.0044296,0.0044296,0.0044296
83,1.1766,0.71087,1.1347,0.81002,0.78265,0.83117,0.54633,1.2817,0.74153,1.1837,0.0043269,0.0043269,0.0043269
84,1.181,0.71672,1.1339,0.82062,0.76951,0.83047,0.54621,1.285,0.73889,1.1841,0.0042245,0.0042245,0.0042245
85,1.1687,0.70773,1.1373,0.86487,0.74714,0.83797,0.54969,1.2841,0.73869,1.1817,0.0041225,0.0041225,0.0041225
86,1.183,0.70512,1.1395,0.81142,0.78813,0.83851,0.54777,1.2802,0.73595,1.1821,0.0040208,0.0040208,0.0040208
87,1.1591,0.69635,1.1266,0.83444,0.76388,0.83146,0.54525,1.2845,0.74083,1.1836,0.0039197,0.0039197,0.0039197
88,1.1682,0.70536,1.1245,0.81712,0.77505,0.83575,0.54771,1.2792,0.74048,1.1853,0.003819,0.003819,0.003819
89,1.1441,0.6887,1.1227,0.82198,0.77249,0.83159,0.55063,1.2783,0.73621,1.1845,0.0037188,0.0037188,0.0037188
90,1.1359,0.68072,1.1218,0.84403,0.7587,0.83309,0.55055,1.2816,0.73945,1.1856,0.0036193,0.0036193,0.0036193
91,1.1348,0.68446,1.1179,0.84282,0.76347,0.83327,0.55188,1.2789,0.74029,1.1859,0.0035204,0.0035204,0.0035204
92,1.1345,0.67821,1.1154,0.83647,0.77362,0.83356,0.55311,1.2749,0.73777,1.1828,0.0034221,0.0034221,0.0034221
93,1.1372,0.67753,1.1168,0.84833,0.76254,0.83367,0.55239,1.2728,0.73645,1.1822,0.0033246,0.0033246,0.0033246
94,1.113,0.66381,1.1022,0.82579,0.77049,0.83211,0.55,1.2743,0.74034,1.1864,0.0032278,0.0032278,0.0032278
95,1.1097,0.65738,1.1038,0.84086,0.78019,0.83254,0.55111,1.2712,0.74417,1.1831,0.0031318,0.0031318,0.0031318
96,1.1131,0.66207,1.0998,0.83173,0.78898,0.83137,0.55292,1.2702,0.74004,1.1869,0.0030367,0.0030367,0.0030367
97,1.1239,0.66916,1.1038,0.83911,0.77347,0.83117,0.54978,1.2708,0.73923,1.1846,0.0029424,0.0029424,0.0029424
98,1.1002,0.65231,1.1083,0.79109,0.79769,0.831,0.55194,1.2649,0.73906,1.1853,0.0028491,0.0028491,0.0028491
99,1.1063,0.65423,1.0991,0.821,0.7732,0.82797,0.54934,1.2678,0.73928,1.1851,0.0027567,0.0027567,0.0027567
100,1.1176,0.65733,1.0967,0.85672,0.754,0.83485,0.55465,1.2683,0.73554,1.1855,0.0026653,0.0026653,0.0026653
101,1.0815,0.64077,1.0875,0.85453,0.7683,0.83144,0.55623,1.2665,0.74092,1.1859,0.002575,0.002575,0.002575
102,1.0941,0.64901,1.103,0.87789,0.73294,0.83229,0.5552,1.2647,0.73414,1.1838,0.0024858,0.0024858,0.0024858
